2026-02-20 01:45:28 | root                           | INFO     | ================================================================================
2026-02-20 01:45:28 | root                           | INFO     | MEET ASSISTANT INICIADO - Log file: logs\meet_assistant_20260220_014528.log
2026-02-20 01:45:28 | root                           | INFO     | ================================================================================
2026-02-20 01:45:28 | root                           | INFO     | Log level: INFO
2026-02-20 01:45:30 | config.settings                | INFO     | 
================================================================================
2026-02-20 01:45:30 | config.settings                | INFO     | DISPOSITIVOS DE ÁUDIO DISPONÍVEIS (38 total):
2026-02-20 01:45:30 | config.settings                | INFO     | ================================================================================
2026-02-20 01:45:30 | config.settings                | INFO     | ================================================================================

2026-02-20 01:45:30 | __main__                       | INFO     | Iniciando Meet Assistant AI v3.2...
2026-02-20 01:45:30 | core.ai_services               | INFO     | Gemini API configurado com sucesso
2026-02-20 01:45:30 | core.ai_services               | INFO     | Whisper pronto para lazy loading (carregará na primeira uso)
2026-02-20 01:45:30 | core.ai_services               | INFO     | Google Speech Recognition inicializado
2026-02-20 01:45:30 | gui.app_window                 | INFO     | Calibrando ruído com device 4...
2026-02-20 01:45:32 | gui.app_window                 | INFO     | Calibração de ruído concluída
2026-02-20 01:45:32 | gui.app_window                 | INFO     | MeetAssistantApp inicializado com sucesso
2026-02-20 01:45:32 | core.audio_engine              | INFO     | AudioEngine iniciado
2026-02-20 01:46:12 | core.ai_services               | INFO     |    Texto: 'baixar GPT consegue resumir textos né e a gente'
2026-02-20 01:46:12 | core.ai_services               | INFO     |    Confiança: 72.20% (Threshold: 70.00%)
2026-02-20 01:46:16 | core.ai_services               | INFO     |    Texto: 'aprender a fazer mais coisas Seguindo aqui'
2026-02-20 01:46:16 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:46:27 | core.ai_services               | INFO     |    Texto: 'básico de uma instrução seria perguntar diretamente'
2026-02-20 01:46:27 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:46:30 | core.ai_services               | INFO     |    Texto: 'algo como quanto é 1.000 x 6000'
2026-02-20 01:46:30 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:46:34 | core.ai_services               | INFO     |    Texto: 'eu acho que esse é o toque que a gente nem precisa ir lá'
2026-02-20 01:46:34 | core.ai_services               | INFO     |    Confiança: 80.87% (Threshold: 70.00%)
2026-02-20 01:46:37 | core.ai_services               | INFO     |    Texto: 'é para colocar né É só um exemplo eu acho que a gente pode pode'
2026-02-20 01:46:37 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:46:41 | core.ai_services               | INFO     |    Texto: 'que é tão básico que não é a necessidade mas'
2026-02-20 01:46:41 | core.ai_services               | INFO     |    Confiança: 77.89% (Threshold: 70.00%)
2026-02-20 01:46:44 | gui.app_window                 | INFO     | Encerrando MeetAssistantApp...
2026-02-20 01:46:44 | core.audio_engine              | INFO     | ThreadPoolExecutor finalizado
2026-02-20 01:46:44 | __main__                       | INFO     | Meet Assistant encerrado
2026-02-20 01:46:44 | core.audio_engine              | INFO     | PyAudio terminado
