2026-02-20 01:43:55 | root                           | INFO     | ================================================================================
2026-02-20 01:43:55 | root                           | INFO     | MEET ASSISTANT INICIADO - Log file: logs\meet_assistant_20260220_014355.log
2026-02-20 01:43:55 | root                           | INFO     | ================================================================================
2026-02-20 01:43:55 | root                           | INFO     | Log level: INFO
2026-02-20 01:43:57 | config.settings                | INFO     | 
================================================================================
2026-02-20 01:43:57 | config.settings                | INFO     | DISPOSITIVOS DE ÁUDIO DISPONÍVEIS (38 total):
2026-02-20 01:43:57 | config.settings                | INFO     | ================================================================================
2026-02-20 01:43:57 | config.settings                | INFO     | ================================================================================

2026-02-20 01:43:57 | __main__                       | INFO     | Iniciando Meet Assistant AI v3.2...
2026-02-20 01:43:57 | core.ai_services               | INFO     | Gemini API configurado com sucesso
2026-02-20 01:43:57 | core.ai_services               | INFO     | Whisper pronto para lazy loading (carregará na primeira uso)
2026-02-20 01:43:57 | core.ai_services               | INFO     | Google Speech Recognition inicializado
2026-02-20 01:43:57 | gui.app_window                 | INFO     | Calibrando ruído com device 4...
2026-02-20 01:43:58 | gui.app_window                 | INFO     | Calibração de ruído concluída
2026-02-20 01:43:58 | gui.app_window                 | INFO     | MeetAssistantApp inicializado com sucesso
2026-02-20 01:43:59 | core.audio_engine              | INFO     | AudioEngine iniciado
2026-02-20 01:44:07 | core.ai_services               | INFO     |    Texto: 'Cert'
2026-02-20 01:44:07 | core.ai_services               | INFO     |    Confiança: 42.52% (Threshold: 70.00%)
2026-02-20 01:44:11 | core.ai_services               | INFO     |    Texto: 'SSL para criptografia que é aquele cadeadinho que todo'
2026-02-20 01:44:11 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:14 | core.ai_services               | INFO     |    Texto: 'ferramentas de e-mail profissional incluindo backup'
2026-02-20 01:44:14 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:17 | core.ai_services               | INFO     |    Texto: 'tanto do seu e-mail quanto do seu site e só quem já'
2026-02-20 01:44:17 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:21 | core.ai_services               | INFO     |    Texto: 'um site já perdeu tudo sabe o quanto isso é importante'
2026-02-20 01:44:21 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:28 | core.ai_services               | INFO     |    Texto: 'ferramentas Premium que custam quase r$ 2000'
2026-02-20 01:44:28 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:31 | core.ai_services               | INFO     |    Texto: 'isso já vem incluído na sua mensalidade e cursos para você'
2026-02-20 01:44:31 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:35 | core.ai_services               | INFO     |    Texto: 'utilizar tudo isso instalar as ferramentas'
2026-02-20 01:44:35 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:38 | core.ai_services               | INFO     |    Texto: 'e criar um site bonitão para você então sempre que alguém'
2026-02-20 01:44:38 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:42 | core.ai_services               | INFO     |    Texto: 'para você que a hospedagem é tudo igual manda esse QR Code que tá aqui aparecendo'
2026-02-20 01:44:42 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:45 | core.ai_services               | INFO     |    Texto: 'acesso o link também tá na descrição do vídeo'
2026-02-20 01:44:45 | core.ai_services               | INFO     |    Confiança: 82.14% (Threshold: 70.00%)
2026-02-20 01:44:46 | gui.app_window                 | INFO     | Encerrando MeetAssistantApp...
2026-02-20 01:44:46 | core.audio_engine              | INFO     | ThreadPoolExecutor finalizado
2026-02-20 01:44:46 | __main__                       | INFO     | Meet Assistant encerrado
